State,District,State Type
Tripura,Unakoti,State
Tripura,West Tripura,State
Uttar Pradesh,Agra,State
Uttar Pradesh,Aligarh,State
Uttar Pradesh,Ambedkar Nagar,State
Uttar Pradesh,Amethi,State
Uttar Pradesh,Amroha,State
Uttar Pradesh,Auraiya,State
Uttar Pradesh,Ayodhya,State
Uttar Pradesh,Azamgarh,State
Uttar Pradesh,Baghpat,State
Uttar Pradesh,Bahraich,State
Uttar Pradesh,Ballia,State
Uttar Pradesh,Balrampur,State
Uttar Pradesh,Banda,State
Uttar Pradesh,Barabanki,State
Uttar Pradesh,Bareilly,State
Uttar Pradesh,Basti,State
Uttar Pradesh,Bhadohi,State
Uttar Pradesh,Bijnor,State
Uttar Pradesh,Budaun,State
Uttar Pradesh,Bulandshahr,State
Uttar Pradesh,Chandauli,State
Uttar Pradesh,Chitrakoot,State
Uttar Pradesh,Deoria,State
Uttar Pradesh,Etah,State
Uttar Pradesh,Etawah,State
Uttar Pradesh,Farrukhabad,State
Uttar Pradesh,Fatehpur,State
Uttar Pradesh,Firozabad,State
Uttar Pradesh,Gautam Buddha Nagar,State
Uttar Pradesh,Ghaziabad,State
Uttar Pradesh,Ghazipur,State
Uttar Pradesh,Gonda,State
Uttar Pradesh,Gorakhpur,State
Uttar Pradesh,Hamirpur,State
Uttar Pradesh,Hapur,State
Uttar Pradesh,Hardoi,State
Uttar Pradesh,Hathras,State
Uttar Pradesh,Jalaun,State
Uttar Pradesh,Jaunpur,State
Uttar Pradesh,Jhansi,State
Uttar Pradesh,Kannauj,State
Uttar Pradesh,Kanpur Dehat,State
Uttar Pradesh,Kanpur Nagar,State
Uttar Pradesh,Kasganj,State
Uttar Pradesh,Kaushambi,State
Uttar Pradesh,Kheri,State
Uttar Pradesh,Kushinagar,State
Uttar Pradesh,Lalitpur,State
Uttar Pradesh,Lucknow,State
Uttar Pradesh,Maharajganj,State
Uttar Pradesh,Mahoba,State
Uttar Pradesh,Mainpuri,State
Uttar Pradesh,Mathura,State
Uttar Pradesh,Mau,State
Uttar Pradesh,Meerut,State
Uttar Pradesh,Mirzapur,State
Uttar Pradesh,Moradabad,State
Uttar Pradesh,Muzaffarnagar,State
Uttar Pradesh,Pilibhit,State
Uttar Pradesh,Pratapgarh,State
Uttar Pradesh,Prayagraj,State
Uttar Pradesh,Raebareli,State
Uttar Pradesh,Rampur,State
Uttar Pradesh,Saharanpur,State
Uttar Pradesh,Sambhal,State
Uttar Pradesh,Sant Kabir Nagar,State
Uttar Pradesh,Shahjahanpur,State
Uttar Pradesh,Shamli,State
Uttar Pradesh,Shravasti,State
Uttar Pradesh,Siddharthnagar,State
Uttar Pradesh,Sitapur,State
Uttar Pradesh,Sonbhadra,State
Uttar Pradesh,Sultanpur,State
Uttar Pradesh,Unnao,State
Uttar Pradesh,Varanasi,State
Uttarakhand,Almora,State
Uttarakhand,Bageshwar,State
Uttarakhand,Chamoli,State
Uttarakhand,Champawat,State
Uttarakhand,Dehradun,State
Uttarakhand,Haridwar,State
Uttarakhand,Nainital,State
Uttarakhand,Pauri,State
Uttarakhand,Pithoragarh,State
Uttarakhand,Rudraprayag,State
Uttarakhand,Tehri,State
Uttarakhand,Udham Singh Nagar,State
Uttarakhand,Uttarkashi,State
West Bengal,Alipurduar,State
West Bengal,Bankura,State
West Bengal,Birbhum,State
West Bengal,Cooch Behar,State
West Bengal,Dakshin Dinajpur,State
West Bengal,Darjeeling,State
West Bengal,Hooghly,State
West Bengal,Howrah,State
West Bengal,Jalpaiguri,State
West Bengal,Jhargram,State
West Bengal,Kalimpong,State
West Bengal,Kolkata,State
West Bengal,Malda,State
West Bengal,Murshidabad,State
West Bengal,Nadia,State
West Bengal,North 24 Parganas,State
West Bengal,Paschim Bardhaman,State
West Bengal,Paschim Medinipur,State
West Bengal,Purba Bardhaman,State
West Bengal,Purba Medinipur,State
West Bengal,Purulia,State
West Bengal,South 24 Parganas,State
West Bengal,Uttar Dinajpur,State
